TimeStep[s];Np;Nbound;Nfixed;Nmoving;Nfloat;Nfluid
1.50003;4203;0;0;0;0;4203

Pos.x[m];Pos.y[m];Pos.z[m];Idp;Vel.x[m/s];Vel.y[m/s];Vel.z[m/s];Rhop[kg/m^3];Press[Pa];Type;
2.3145588e-01;0.0000000e+00;1.3332325e-01;1996;5.3342682e-04;0.0000000e+00;-6.8608737e-05;1.0026129e+03;3.7718374e+03;3;
2.3657575e-01;0.0000000e+00;1.3110289e-01;2059;7.3287153e-04;0.0000000e+00;-7.6327875e-04;1.0019988e+03;2.8800837e+03;3;
2.4138704e-01;0.0000000e+00;1.3029246e-01;2129;1.1497873e-03;0.0000000e+00;4.7534300e-04;1.0029424e+03;4.2516401e+03;3;
2.4638385e-01;0.0000000e+00;1.2775023e-01;2189;-1.6226475e-05;0.0000000e+00;-2.0619386e-04;1.0040984e+03;5.9427148e+03;3;
2.4944434e-01;0.0000000e+00;1.3212119e-01;2251;1.8301174e-03;0.0000000e+00;-5.3771550e-04;1.0025541e+03;3.6863403e+03;3;
2.5031096e-01;0.0000000e+00;1.2595446e-01;2256;2.4411538e-04;0.0000000e+00;-5.0377119e-05;1.0046142e+03;6.7009185e+03;3;
2.5488600e-01;0.0000000e+00;1.2593396e-01;2318;5.9438846e-04;0.0000000e+00;-2.8084646e-04;1.0035917e+03;5.2000635e+03;3;
2.5418782e-01;0.0000000e+00;1.3112542e-01;2319;1.3836008e-03;0.0000000e+00;-4.2840460e-04;1.0024593e+03;3.5484363e+03;3;
2.6020953e-01;0.0000000e+00;1.2459031e-01;2389;7.0949871e-04;0.0000000e+00;-1.1111546e-04;1.0028521e+03;4.1200850e+03;3;
2.5905761e-01;0.0000000e+00;1.3000847e-01;2390;1.5411479e-03;0.0000000e+00;-6.9437461e-04;1.0026490e+03;3.8244114e+03;3;
2.6539990e-01;0.0000000e+00;1.2275202e-01;2454;4.4261676e-04;0.0000000e+00;-6.3959356e-05;1.0042143e+03;6.1128159e+03;3;
2.6380962e-01;0.0000000e+00;1.2787373e-01;2455;1.7893533e-03;0.0000000e+00;-2.8406907e-04;1.0026072e+03;3.7634905e+03;3;
