TimeStep[s];Np;Nbound;Nfixed;Nmoving;Nfloat;Nfluid
9.80024;17161;1785;1261;524;0;15376

Pos.x[m];Pos.y[m];Pos.z[m];Idp;Vel.x[m/s];Vel.y[m/s];Vel.z[m/s];Rhop[kg/m^3];Press[Pa];Type;
-1.6000001e-02;0.0000000e+00;8.0000004e-03;0;0.0000000e+00;0.0000000e+00;0.0000000e+00;1.0002185e+03;4.9196056e+01;0;
-1.6000001e-02;0.0000000e+00;1.6000001e-02;1;0.0000000e+00;0.0000000e+00;0.0000000e+00;1.0002435e+03;5.4834362e+01;0;
-8.0000004e-03;0.0000000e+00;8.0000004e-03;124;0.0000000e+00;0.0000000e+00;0.0000000e+00;1.0004168e+03;9.3899391e+01;0;
-8.0000004e-03;0.0000000e+00;1.6000001e-02;125;0.0000000e+00;0.0000000e+00;0.0000000e+00;1.0004294e+03;9.6735565e+01;0;
0.0000000e+00;0.0000000e+00;8.0000004e-03;248;0.0000000e+00;0.0000000e+00;0.0000000e+00;1.0006694e+03;1.5091161e+02;0;
0.0000000e+00;0.0000000e+00;1.6000001e-02;249;0.0000000e+00;0.0000000e+00;0.0000000e+00;1.0005066e+03;1.1415653e+02;0;
-1.6000001e-02;0.0000000e+00;-1.6000001e-02;868;0.0000000e+00;0.0000000e+00;0.0000000e+00;1.0000461e+03;1.0369781e+01;0;
-1.6000001e-02;0.0000000e+00;-8.0000004e-03;869;0.0000000e+00;0.0000000e+00;0.0000000e+00;1.0001483e+03;3.3372078e+01;0;
-1.6000001e-02;0.0000000e+00;0.0000000e+00;870;0.0000000e+00;0.0000000e+00;0.0000000e+00;1.0002086e+03;4.6954723e+01;0;
-8.0000004e-03;0.0000000e+00;-1.6000001e-02;871;0.0000000e+00;0.0000000e+00;0.0000000e+00;1.0001441e+03;3.2437420e+01;0;
-8.0000004e-03;0.0000000e+00;-8.0000004e-03;872;0.0000000e+00;0.0000000e+00;0.0000000e+00;1.0002590e+03;5.8327782e+01;0;
-8.0000004e-03;0.0000000e+00;0.0000000e+00;873;0.0000000e+00;0.0000000e+00;0.0000000e+00;1.0003545e+03;7.9845619e+01;0;
0.0000000e+00;0.0000000e+00;-1.6000001e-02;874;0.0000000e+00;0.0000000e+00;0.0000000e+00;1.0002327e+03;5.2400162e+01;0;
0.0000000e+00;0.0000000e+00;-8.0000004e-03;875;0.0000000e+00;0.0000000e+00;0.0000000e+00;1.0004297e+03;9.6804405e+01;0;
0.0000000e+00;0.0000000e+00;0.0000000e+00;876;0.0000000e+00;0.0000000e+00;0.0000000e+00;1.0005209e+03;1.1739372e+02;0;
8.0000004e-03;0.0000000e+00;-1.6000001e-02;877;0.0000000e+00;0.0000000e+00;0.0000000e+00;1.0003714e+03;8.3657921e+01;0;
8.0000004e-03;0.0000000e+00;-8.0000004e-03;878;0.0000000e+00;0.0000000e+00;0.0000000e+00;1.0005274e+03;1.1885400e+02;0;
8.0000004e-03;0.0000000e+00;0.0000000e+00;879;0.0000000e+00;0.0000000e+00;0.0000000e+00;1.0003830e+03;8.6273087e+01;0;
1.6000001e-02;0.0000000e+00;-1.6000001e-02;880;0.0000000e+00;0.0000000e+00;0.0000000e+00;1.0004199e+03;9.4601532e+01;0;
1.6000001e-02;0.0000000e+00;-8.0000004e-03;881;0.0000000e+00;0.0000000e+00;0.0000000e+00;1.0005530e+03;1.2462676e+02;0;
1.6000001e-02;0.0000000e+00;0.0000000e+00;882;0.0000000e+00;0.0000000e+00;0.0000000e+00;1.0004470e+03;1.0070105e+02;0;
2.4000000e-02;0.0000000e+00;-1.6000001e-02;883;0.0000000e+00;0.0000000e+00;0.0000000e+00;1.0004435e+03;9.9929947e+01;0;
2.4000000e-02;0.0000000e+00;-8.0000004e-03;884;0.0000000e+00;0.0000000e+00;0.0000000e+00;1.0005280e+03;1.1899176e+02;0;
2.4000000e-02;0.0000000e+00;0.0000000e+00;885;0.0000000e+00;0.0000000e+00;0.0000000e+00;1.0003627e+03;8.1689789e+01;0;
3.2000002e-02;0.0000000e+00;-1.6000001e-02;886;0.0000000e+00;0.0000000e+00;0.0000000e+00;1.0003640e+03;8.1992569e+01;0;
3.2000002e-02;0.0000000e+00;-8.0000004e-03;887;0.0000000e+00;0.0000000e+00;0.0000000e+00;1.0004008e+03;9.0292534e+01;0;
3.2000002e-02;0.0000000e+00;0.0000000e+00;888;0.0000000e+00;0.0000000e+00;0.0000000e+00;1.0002693e+03;6.0638569e+01;0;
3.9999999e-02;0.0000000e+00;-1.6000001e-02;889;0.0000000e+00;0.0000000e+00;0.0000000e+00;1.0002866e+03;6.4531471e+01;0;
3.9999999e-02;0.0000000e+00;-8.0000004e-03;890;0.0000000e+00;0.0000000e+00;0.0000000e+00;1.0004084e+03;9.1999557e+01;0;
3.9999999e-02;0.0000000e+00;0.0000000e+00;891;0.0000000e+00;0.0000000e+00;0.0000000e+00;1.0005436e+03;1.2250493e+02;0;
4.8000000e-02;0.0000000e+00;-1.6000001e-02;892;0.0000000e+00;0.0000000e+00;0.0000000e+00;1.0002443e+03;5.5013149e+01;0;
4.8000000e-02;0.0000000e+00;-8.0000004e-03;893;0.0000000e+00;0.0000000e+00;0.0000000e+00;1.0003549e+03;7.9941956e+01;0;
4.8000000e-02;0.0000000e+00;0.0000000e+00;894;0.0000000e+00;0.0000000e+00;0.0000000e+00;1.0004274e+03;9.6294975e+01;0;
